Defocus,Resolution (nm)
-3.3450726675620237e-06,4.8828125
-3.238879884464817e-06,4.8095703125
-3.1326871013676095e-06,4.736328125
-3.0264943182704022e-06,4.650878906250001
-2.9203015351731953e-06,4.57763671875
-2.8141087520759885e-06,4.4921875
-2.707915968978781e-06,4.40673828125
-2.601723185881574e-06,4.321289062500001
-2.495530402784367e-06,4.23583984375
-2.38933761968716e-06,4.138183593750001
-2.2831448365899527e-06,4.040527343750001
-2.1769520534927454e-06,3.955078125
-2.0707592703955385e-06,3.8696289062499996
-1.9645664872983317e-06,3.7963867187500004
-1.8583737042011243e-06,3.69873046875
-1.7521809211039172e-06,3.61328125
-1.6459881380067101e-06,3.5400390625
-1.539795354909503e-06,3.4545898437500004
-1.433602571812296e-06,3.3447265625000004
-1.3274097887150886e-06,3.2592773437500004
-1.2212170056178818e-06,3.16162109375
-1.1150242225206749e-06,3.06396484375
-1.0088314394234676e-06,2.9418945312500004
-9.026386563262602e-07,2.83203125
-7.964458732290534e-07,2.72216796875
-6.902530901318465e-07,2.6000976562500004
-5.840603070346392e-07,2.4780273437500004
-4.778675239374318e-07,2.35595703125
-3.7167474084022495e-07,2.24609375
-2.6548195774301807e-07,2.1484375
-1.5928917464581076e-07,2.0385742187500004
-5.3096391548603444e-08,1.9531250000000002
5.3096391548603444e-08,1.8798828125000002
1.5928917464581033e-07,1.806640625
2.6548195774301764e-07,1.7333984375000002
3.7167474084022495e-07,1.7089843750000002
4.778675239374318e-07,1.6601562500000002
5.840603070346387e-07,1.6479492187500002
6.902530901318465e-07,1.6357421875
7.964458732290534e-07,1.6357421875
9.026386563262602e-07,1.6479492187500002
1.0088314394234671e-06,1.69677734375
1.115024222520674e-06,1.72119140625
1.2212170056178818e-06,1.7822265625
1.3274097887150886e-06,1.8676757812500002
1.4336025718122955e-06,1.9531250000000002
1.5397953549095033e-06,2.0751953125000004
1.6459881380067101e-06,2.2216796875000004
1.752180921103917e-06,2.38037109375
1.858373704201124e-06,2.5634765625000004
1.964566487298331e-06,2.7587890625
2.0707592703955385e-06,2.96630859375
2.1769520534927454e-06,3.16162109375
2.2831448365899523e-06,3.3447265625000004
2.38933761968716e-06,3.5156250000000004
2.495530402784367e-06,3.6743164062500004
2.601723185881574e-06,3.80859375
2.7079159689787807e-06,3.9306640625000004
2.8141087520759876e-06,4.0283203125
2.9203015351731953e-06,4.13818359375
3.0264943182704022e-06,4.248046875000001
3.132687101367609e-06,4.33349609375
3.238879884464817e-06,4.4189453125
3.3450726675620237e-06,4.516601562500001
