Defocus,Resolution (nm)
-3.3450726675620237e-06,5.43212890625
-3.238879884464817e-06,5.35888671875
-3.1326871013676095e-06,5.297851562500001
-3.0264943182704022e-06,5.23681640625
-2.9203015351731953e-06,5.16357421875
-2.8141087520759885e-06,5.09033203125
-2.707915968978781e-06,5.01708984375
-2.601723185881574e-06,4.94384765625
-2.495530402784367e-06,4.858398437500001
-2.38933761968716e-06,4.7607421875
-2.2831448365899527e-06,4.67529296875
-2.1769520534927454e-06,4.589843750000001
-2.0707592703955385e-06,4.50439453125
-1.9645664872983317e-06,4.43115234375
-1.8583737042011243e-06,4.33349609375
-1.7521809211039172e-06,4.260253906250001
-1.6459881380067101e-06,4.174804687500001
-1.539795354909503e-06,4.0771484375
-1.433602571812296e-06,4.003906250000001
-1.3274097887150886e-06,3.9062500000000004
-1.2212170056178818e-06,3.8330078125000004
-1.1150242225206749e-06,3.7353515625000004
-1.0088314394234676e-06,3.64990234375
-9.026386563262602e-07,3.5644531250000004
-7.964458732290534e-07,3.4667968750000004
-6.902530901318465e-07,3.35693359375
-5.840603070346392e-07,3.2470703125000004
-4.778675239374318e-07,3.1494140625000004
-3.7167474084022495e-07,3.02734375
-2.6548195774301807e-07,2.9052734375000004
-1.5928917464581076e-07,2.8076171875000004
-5.3096391548603444e-08,2.685546875
5.3096391548603444e-08,2.57568359375
1.5928917464581033e-07,2.45361328125
2.6548195774301764e-07,2.35595703125
3.7167474084022495e-07,2.2705078124999996
4.778675239374318e-07,2.18505859375
5.840603070346387e-07,2.11181640625
6.902530901318465e-07,2.0385742187500004
7.964458732290534e-07,1.9897460937500004
9.026386563262602e-07,1.94091796875
1.0088314394234671e-06,1.904296875
1.115024222520674e-06,1.8798828125000002
1.2212170056178818e-06,1.8554687500000002
1.3274097887150886e-06,1.8554687500000002
1.4336025718122955e-06,1.8554687500000002
1.5397953549095033e-06,1.8798828125000002
1.6459881380067101e-06,1.8920898437500004
1.752180921103917e-06,1.9287109375000002
1.858373704201124e-06,1.9775390625
1.964566487298331e-06,2.03857421875
2.0707592703955385e-06,2.11181640625
2.1769520534927454e-06,2.18505859375
2.2831448365899523e-06,2.28271484375
2.38933761968716e-06,2.40478515625
2.495530402784367e-06,2.52685546875
2.601723185881574e-06,2.64892578125
2.7079159689787807e-06,2.79541015625
2.8141087520759876e-06,2.9418945312500004
2.9203015351731953e-06,3.08837890625
3.0264943182704022e-06,3.23486328125
3.132687101367609e-06,3.3813476562500004
3.238879884464817e-06,3.5156250000000004
3.3450726675620237e-06,3.6376953125000004
