Defocus,Resolution (nm)
-3.3450726675620237e-06,5.35888671875
-3.2405391467007106e-06,5.28564453125
-3.1360056258393975e-06,5.224609375
-3.031472104978084e-06,5.16357421875
-2.9269385841167708e-06,5.09033203125
-2.8224050632554576e-06,5.01708984375
-2.717871542394144e-06,4.94384765625
-2.613338021532831e-06,4.8828125
-2.508804500671518e-06,4.82177734375
-2.4042709798102047e-06,4.736328125
-2.2997374589488915e-06,4.6630859375
-2.195203938087578e-06,4.57763671875
-2.090670417226265e-06,4.4921875
-1.9861368963649517e-06,4.39453125
-1.8816033755036384e-06,4.3212890625
-1.777069854642325e-06,4.21142578125
-1.6725363337810119e-06,4.1259765625
-1.5680028129196987e-06,4.0283203125
-1.4634692920583854e-06,3.918457031250001
-1.358935771197072e-06,3.80859375
-1.254402250335759e-06,3.69873046875
-1.1498687294744458e-06,3.5888671875000004
-1.0453352086131322e-06,3.466796875
-9.408016877518191e-07,3.35693359375
-8.362681668905059e-07,3.2470703125000004
-7.317346460291928e-07,3.13720703125
-6.272011251678797e-07,3.02734375
-5.226676043065661e-07,2.91748046875
-4.1813408344525297e-07,2.81982421875
-3.1360056258393983e-07,2.72216796875
-2.0906704172262627e-07,2.6489257812500004
-1.0453352086131314e-07,2.55126953125
0.0,2.490234375
1.0453352086131314e-07,2.4291992187500004
2.0906704172262627e-07,2.35595703125
3.1360056258393983e-07,2.3071289062500004
4.1813408344525297e-07,2.2583007812500004
5.226676043065665e-07,2.20947265625
6.272011251678797e-07,2.18505859375
7.317346460291928e-07,2.1484375
8.362681668905059e-07,2.1240234375000004
9.408016877518191e-07,2.11181640625
1.0453352086131322e-06,2.099609375
1.1498687294744453e-06,2.099609375
1.2544022503357593e-06,2.099609375
1.3589357711970725e-06,2.099609375
1.4634692920583856e-06,2.099609375
1.5680028129196987e-06,2.1240234375000004
1.6725363337810119e-06,2.1484375
1.777069854642325e-06,2.1728515625
1.8816033755036381e-06,2.1972656250000004
1.9861368963649513e-06,2.24609375
2.0906704172262644e-06,2.2949218750000004
2.1952039380875784e-06,2.34375
2.2997374589488915e-06,2.3925781250000004
2.4042709798102047e-06,2.4658203125000004
2.508804500671518e-06,2.5390625000000004
2.613338021532831e-06,2.62451171875
2.717871542394144e-06,2.7099609375000004
2.8224050632554572e-06,2.8076171875000004
2.926938584116771e-06,2.9296875
3.0314721049780843e-06,3.02734375
3.1360056258393975e-06,3.1494140625000004
3.2405391467007106e-06,3.271484375
3.3450726675620237e-06,3.3935546875000004
