Defocus,Resolution (nm)
-3.3450726675620237e-06,4.9072265625
-3.238879884464817e-06,4.821777343750001
-3.1326871013676095e-06,4.736328125
-3.0264943182704022e-06,4.650878906250001
-2.9203015351731953e-06,4.5654296875
-2.8141087520759885e-06,4.47998046875
-2.707915968978781e-06,4.39453125
-2.601723185881574e-06,4.309082031250001
-2.495530402784367e-06,4.2236328125
-2.38933761968716e-06,4.13818359375
-2.2831448365899527e-06,4.052734375
-2.1769520534927454e-06,3.9794921875
-2.0707592703955385e-06,3.8818359375
-1.9645664872983317e-06,3.7963867187500004
-1.8583737042011243e-06,3.7109375
-1.7521809211039172e-06,3.6376953125
-1.6459881380067101e-06,3.5400390625
-1.539795354909503e-06,3.4423828125
-1.433602571812296e-06,3.35693359375
-1.3274097887150886e-06,3.2470703125000004
-1.2212170056178818e-06,3.13720703125
-1.1150242225206749e-06,3.02734375
-1.0088314394234676e-06,2.91748046875
-9.026386563262602e-07,2.79541015625
-7.964458732290534e-07,2.6733398437500004
-6.902530901318465e-07,2.55126953125
-5.840603070346392e-07,2.4291992187500004
-4.778675239374318e-07,2.3071289062500004
-3.7167474084022495e-07,2.197265625
-2.6548195774301807e-07,2.0874023437500004
-1.5928917464581076e-07,2.0019531250000004
-5.3096391548603444e-08,1.9165039062500002
5.3096391548603444e-08,1.8554687500000002
1.5928917464581033e-07,1.79443359375
2.6548195774301764e-07,1.74560546875
3.7167474084022495e-07,1.72119140625
4.778675239374318e-07,1.6845703125
5.840603070346387e-07,1.6723632812500002
6.902530901318465e-07,1.6723632812500002
7.964458732290534e-07,1.6845703125
9.026386563262602e-07,1.69677734375
1.0088314394234671e-06,1.7333984375000002
1.115024222520674e-06,1.77001953125
1.2212170056178818e-06,1.8432617187500002
1.3274097887150886e-06,1.9165039062500002
1.4336025718122955e-06,2.01416015625
1.5397953549095033e-06,2.11181640625
1.6459881380067101e-06,2.24609375
1.752180921103917e-06,2.3925781250000004
1.858373704201124e-06,2.5634765625000004
1.964566487298331e-06,2.74658203125
2.0707592703955385e-06,2.9418945312500004
2.1769520534927454e-06,3.13720703125
2.2831448365899523e-06,3.30810546875
2.38933761968716e-06,3.4912109375000004
2.495530402784367e-06,3.6376953125000004
2.601723185881574e-06,3.7963867187499996
2.7079159689787807e-06,3.918457031250001
2.8141087520759876e-06,4.040527343750001
2.9203015351731953e-06,4.150390625
3.0264943182704022e-06,4.248046875000001
3.132687101367609e-06,4.345703125
3.238879884464817e-06,4.43115234375
3.3450726675620237e-06,4.516601562500001
