Defocus,Resolution (nm)
-2.844914711875363e-07,2.0874023437500004
-2.754599959117415e-07,2.0751953125
-2.664285206359467e-07,2.06298828125
-2.573970453601519e-07,2.06298828125
-2.483655700843571e-07,2.05078125
-2.393340948085623e-07,2.05078125
-2.3030261953276746e-07,2.0385742187500004
-2.2127114425697266e-07,2.0385742187500004
-2.1223966898117786e-07,2.0263671875000004
-2.0320819370538306e-07,2.0263671875000004
-1.9417671842958826e-07,2.01416015625
-1.8514524315379343e-07,2.0019531250000004
-1.7611376787799863e-07,1.9897460937500004
-1.6708229260220383e-07,1.9897460937500004
-1.5805081732640903e-07,1.9897460937500004
-1.4901934205061423e-07,1.9775390625
-1.3998786677481943e-07,1.9653320312500002
-1.3095639149902463e-07,1.9653320312500002
-1.2192491622322983e-07,1.9653320312500002
-1.1289344094743503e-07,1.9531250000000002
-1.0386196567164023e-07,1.9531250000000002
-9.48304903958454e-08,1.94091796875
-8.57990151200506e-08,1.94091796875
-7.67675398442558e-08,1.9287109375000002
-6.7736064568461e-08,1.9287109375000002
-5.87045892926662e-08,1.9165039062500002
-4.96731140168714e-08,1.9165039062500002
-4.0641638741076575e-08,1.9165039062500002
-3.1610163465281775e-08,1.904296875
-2.2578688189486974e-08,1.904296875
-1.3547212913692174e-08,1.89208984375
-4.515737637897374e-09,1.8798828125000002
4.515737637897427e-09,1.8798828125000002
1.3547212913692227e-08,1.8676757812500002
2.2578688189487027e-08,1.8798828125000002
3.161016346528183e-08,1.8676757812500002
4.064163874107663e-08,1.8676757812500002
4.967311401687143e-08,1.8554687500000002
5.870458929266623e-08,1.8554687500000002
6.773606456846103e-08,1.8432617187500002
7.676753984425583e-08,1.8310546875000002
8.579901512005068e-08,1.8310546875000002
9.483049039584548e-08,1.8310546875000002
1.0386196567164028e-07,1.81884765625
1.1289344094743508e-07,1.8310546875000002
1.2192491622322988e-07,1.81884765625
1.3095639149902468e-07,1.81884765625
1.3998786677481948e-07,1.806640625
1.4901934205061428e-07,1.806640625
1.5805081732640908e-07,1.806640625
1.6708229260220388e-07,1.79443359375
1.7611376787799868e-07,1.79443359375
1.8514524315379349e-07,1.79443359375
1.9417671842958829e-07,1.79443359375
2.0320819370538314e-07,1.79443359375
2.1223966898117789e-07,1.7822265625
2.2127114425697274e-07,1.7822265625
2.3030261953276749e-07,1.77001953125
2.3933409480856234e-07,1.77001953125
2.483655700843571e-07,1.77001953125
2.5739704536015194e-07,1.7578125000000002
2.664285206359467e-07,1.7578125000000002
2.7545999591174154e-07,1.7578125000000002
2.844914711875363e-07,1.7578125000000002
