Defocus,Resolution (nm)
0.0,2.72216796875
1.079055699213556e-07,2.6367187500000004
2.158111398427112e-07,2.5390625000000004
3.2371670976406683e-07,2.44140625
4.316222796854224e-07,2.35595703125
5.39527849606778e-07,2.2705078125
6.474334195281337e-07,2.18505859375
7.553389894494892e-07,2.0996093750000004
8.632445593708448e-07,2.01416015625
9.711501292922005e-07,1.9531250000000002
1.079055699213556e-06,1.8798828125000002
1.1869612691349116e-06,1.81884765625
1.2948668390562673e-06,1.77001953125
1.4027724089776228e-06,1.7456054687500002
1.5106779788989785e-06,1.72119140625
1.618583548820334e-06,1.72119140625
1.7264891187416896e-06,1.7456054687500002
1.8343946886630453e-06,1.7822265625
1.942300258584401e-06,1.85546875
2.0502058285057564e-06,1.94091796875
2.158111398427112e-06,2.0629882812500004
2.266016968348468e-06,2.197265625
2.3739225382698233e-06,2.3681640625
2.4818281081911787e-06,2.5390625
2.5897336781125346e-06,2.7099609375
2.69763924803389e-06,2.89306640625
2.8055448179552456e-06,3.0395507812500004
2.913450387876601e-06,3.1860351562500004
3.021355957797957e-06,3.3203125000000004
3.1292615277193124e-06,3.43017578125
3.237167097640668e-06,3.5400390625
3.3450726675620237e-06,3.64990234375
