Aperture angle (mrad),Resolution (nm)
0.0005,7.653808593750001
0.000603448275862069,6.079101562500001
0.000706896551724138,5.21240234375
0.0008103448275862069,4.5654296875
0.0009137931034482759,4.06494140625
0.0010172413793103447,3.67431640625
0.0011206896551724137,3.35693359375
0.0012241379310344827,3.1005859375
0.0013275862068965517,2.8198242187500004
0.0014310344827586207,2.6611328125
0.0015344827586206897,2.5146484375000004
0.0016379310344827587,2.3925781250000004
0.0017413793103448275,2.28271484375
0.0018448275862068964,2.18505859375
0.0019482758620689654,2.11181640625
0.002051724137931034,2.0385742187500004
0.0021551724137931034,1.9653320312500002
0.0022586206896551726,1.9287109375000002
0.0023620689655172414,1.8798828125000002
0.00246551724137931,1.8432617187500002
0.0025689655172413794,1.81884765625
0.002672413793103448,1.7944335937500002
0.0027758620689655174,1.77001953125
0.002879310344827586,1.7456054687500002
0.002982758620689655,1.7333984375
0.003086206896551724,1.72119140625
0.003189655172413793,1.72119140625
0.003293103448275862,1.7333984375000002
0.003396551724137931,1.7456054687500002
0.0035,1.7456054687500002
0.004,1.7456054687500002
0.006,1.7578125000000002
